Product Number,TEXT,isP_bin,1RE_val,2RE_val,G_val,A_val
9B21E002,,1,ASIAN,SOUTHERN ASIA,MAN,
9B21M008,,1,,SOUTHERN AFRICA,WOMAN,
9B21M012,,1,,NORTH AMERICA,MAN,
9B21M015,,1,WHITE,NORTH AMERICA,MAN,
9B21A003,,1,ASIAN,SOUTHERN ASIA,MAN,
9B21M003,,1,WHITE,AUSTRALIA AND NEW ZEALAND,MAN,
9B21M006,,0,,,,
9B21N002,,1,WHITE,NORTH AMERICA,MAN,
9B21M018,,1,WHITE,NORTH AMERICA,MAN,
9B21A004,,1,WHITE,NORTH AMERICA,MAN,
9B21M005,,1,WHITE,NORTH AMERICA,MAN,
9B21M014,,0,,,,
9B20M220,,1,BLACK,EASTERN AFRICA,MAN,29
9B21A002,,1,BROWN,SOUTHERN ASIA,MAN,37
9B21N001,,1,ASIAN,EASTERN ASIA,MAN,
9B20M222,,1,BLACK,SOUTHERN AFRICA,MAN,
9B20N042,,1,,NORTHERN EUROPE,MAN,
9B21A005,,1,WHITE,NORTH AMERICA,MAN,
9B21M013,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B21M024,,1,BROWN,SOUTHERN ASIA,MAN,
9B20C056,,1,BLACK,SOUTHERN AFRICA,WOMAN,
9B21M007,,1,,SOUTHERN AFRICA,WOMAN,
9B21M009,,1,,SOUTHEASTERN ASIA,MAN,
9B21C001,,1,BROWN,SOUTHERN ASIA,MAN,
9B21A001,,1,,NORTH AMERICA,MAN,
9B21C002,,1,ASIAN,NORTH AMERICA,MAN,
9B21E001,,1,WHITE,NORTH AMERICA,MAN,
9B21M004,,1,WHITE,NORTH AMERICA,MAN,
9B21M010,,1,,NORTH AMERICA,MAN,
9B21M011,,0,,,,
9B20E021,,1,WHITE,NORTH AMERICA,MAN,
9B20M221,,1,WHITE,NORTH AMERICA,MAN,
9B20M216,,1,WHITE,NORTH AMERICA,MAN,
9B20M217,,1,WHITE,NORTH AMERICA,MAN,
9B21M001,,0,,,,
9B21M002,,0,,,,
9B20M218,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A090,,1,WHITE,WESTERN EUROPE,MAN,
9B20M219,,1,WHITE,NORTH AMERICA,MAN,
9B20C054,,1,WHITE,NORTH AMERICA,MAN,
9B20M212,,1,BROWN,SOUTHERN ASIA,MAN,
9B20C055,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M185,,1,BLACK,EASTERN AFRICA,WOMAN,
9B20M210,,0,,,,
9B20A089,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B20M211,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B20M213,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M215,,1,WHITE,NORTHERN EUROPE,MAN,
9B20C053,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B20M214,,1,BROWN,UNKNOWN,WOMAN,
9B20D026,,1,WHITE,NORTH AMERICA,MAN,
9B20C051,,1,WHITE,NORTH AMERICA,WOMAN,25
9B20C052,,1,ASIAN,EASTERN ASIA,MAN,
9B20M208,,1,WHITE,NORTH AMERICA,MAN,
9B20N041,,1,WHITE,UNKNOWN,WOMAN,
9B20A087,,1,WHITE,NORTH AMERICA,MAN,
9B20M205,,1,WHITE,NORTH AMERICA,MAN,
9B20E020,,1,ASIAN,EASTERN ASIA,MAN,
9B20M209,,1,WHITE,NORTH AMERICA,WOMAN,
9B20D025,,1,ASIAN,EASTERN ASIA,MAN,
9B20M203,,1,ASIAN,EASTERN ASIA,MAN,
9B20M206,,1,ASIAN,EASTERN ASIA,MAN,
9B20M204,,1,ASIAN,EASTERN ASIA,MAN,
9B20M207,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A088,,1,WHITE,NORTH AMERICA,MAN,28
9B20C049,,1,WHITE,NORTH AMERICA,MAN,
9B20M191,,0,,,,
9B20M199,,0,,,,
9B20M202,,1,BROWN,SOUTHERN ASIA,MAN,
9B20N040,,0,,,,
9B20M194,,1,WHITE,NORTH AMERICA,MAN,
9B20A084,,1,WHITE,SOUTHERN ASIA,WOMAN,
9B20A085,,1,WHITE,UNKNOWN,MAN,
9B20M196,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B20A086,,1,BLACK,NORTH AMERICA,MAN,
9B20M197,,1,WHITE,WESTERN EUROPE,MAN,
9B20C050,,1,WHITE,NORTH AMERICA,MAN,
9B20M192,,1,ASIAN,NORTH AMERICA,WOMAN,
9B20N039,,0,,,,
9B20E019,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M193,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M198,,1,WHITE,SOUTHEASTERN ASIA,WOMAN,
9B20M189,,1,WHITE,WESTERN EUROPE,MAN,
9B20C046,,,ASIAN,,MAN,
9B20C048,,1,WHITE,SOUTHERN AFRICA,WOMAN,
9B20M171,,1,WHITE,NORTH AMERICA,MAN,
9B20M195,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M186,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M187,,0,,,,
9B20A082,,1,BROWN,NORTH AMERICA,WOMAN,
9B20M188,,1,WHITE,NORTH AMERICA,MAN,
9B20M190,,1,WHITE,SOUTHERN AFRICA,MAN,
9B20N038,,1,WHITE,NORTH AMERICA,MAN,
9B20A079,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A083,,1,WHITE,AUSTRALIA AND NEW ZEALAND,WOMAN,
9B20C047,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B20M182,,1,WHITE,EASTERN AFRICA,MAN,
9B20M184,,1,BLACK,EASTERN AFRICA,MAN,
9B20M170,,1,WHITE,NORTH AMERICA,MAN,
9B20M172,,0,,,,
9B20M180,,1,ASIAN,NORTH AMERICA,MAN,
9B20M183,,1,ASIAN,EASTERN ASIA,MAN,
9B20A080,,,BROWN,,MAN,
9B20D023,,1,WHITE,NORTH AMERICA,MAN,
9B20M181,,1,ASIAN,EASTERN ASIA,,
9B20D024,,0,,,,
9B20M174,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M175,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M176,,1,BROWN,NORTH AMERICA,WOMAN,
9B20M177,,0,,,,
9B20M178,,0,,,,
9B20N036,,0,,,,
9B20E018,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M173,,1,WHITE,EASTERN EUROPE,MAN,
9B20M168,,1,,WESTERN ASIA,MAN,59
9B20M167,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A077,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M179,,1,WHITE,NORTH AMERICA,MAN,
9B20A078,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M164,,0,,,,
9B19M129,,1,BROWN,SOUTHERN ASIA,MAN,
9B20C043,,0,,,,
9B20C044,,0,,,,
9B20B018,,1,WHITE,NORTH AMERICA,MAN,
9B20D022,,1,WHITE,NORTH AMERICA,WOMAN,49
9B20A076,,1,WHITE,NORTH AMERICA,MAN,
9B20M160,,1,BLACK,SOUTHERN AFRICA,MAN,
9B20M162,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A075,,1,WHITE,NORTH AMERICA,MAN,
9B20C042,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M153,,1,INDIGENOUS,NORTH AMERICA,MAN,
9B20N035,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M161,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M163,,0,,,,
9B20A074,,1,WHITE,NORTH AMERICA,MAN,
9B20M156,,1,ASIAN,EASTERN ASIA,MAN,
9B20N031,,1,BROWN,WESTERN ASIA,MAN,
9B20N033,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B20A014,,1,BROWN,SOUTHERN ASIA,MAN,
9B20D015,,1,BROWN,SOUTHERN ASIA,MAN,
9B20D016,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M157,,1,WHITE,NORTH AMERICA,WOMAN,
9B20D021,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M159,,1,ASIAN,EASTERN ASIA,MAN,
9B20M154,,1,WHITE,SOUTHERN AFRICA,MAN,
9B20M155,,1,BROWN,SOUTHERN ASIA,MAN,
9B20N034,,1,WHITE,NORTH AMERICA,MAN,
9B20C038,,1,WHITE,NORTH AMERICA,WOMAN,
9B20C039,,1,WHITE,NORTH AMERICA,MAN,
9B20C041,,1,,UNKNOWN,,
9B20M158,,0,,,,
9B20B017,,1,WHITE,NORTH AMERICA,MAN,
9B20C040,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M150,,1,WHITE,NORTH AMERICA,MAN,
9B20M151,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M152,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A073,,1,BROWN,NORTH AMERICA,MAN,
9B20M147,,1,WHITE,NORTH AMERICA,MAN,
9B20A070,,1,BROWN,SOUTHERN ASIA,MAN,
9B20B007,,1,,NORTH AMERICA,MAN,
9B20C034,,1,BROWN,SOUTHERN ASIA,MAN,
9B20D020,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M145,,1,WHITE,NORTH AMERICA,MAN,
9B20A071,,1,BROWN,NORTH AMERICA,MAN,
9B20C035,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B20C036,,1,ASIAN,NORTHERN EUROPE,WOMAN,
9B20M146,,1,WHITE,NORTH AMERICA,MAN,
9B20C037,,1,WHITE,NORTH AMERICA,MAN,
9B20M148,,1,WHITE,NORTH AMERICA,MAN ,
9B20N025,,1,BROWN,SOUTHEASTERN ASIA,MAN,
9B20M149,,0,,,,
9B20D019,,1,WHITE,NORTH AMERICA,MAN,
9B20A066,,1,BROWN,NORTH AMERICA,MAN,
9B20C029,,1,WHITE,NORTH AMERICA,MAN,
9B20A069,,1,BROWN,SOUTHERN ASIA,MAN,
IM1062,,0,,,,
9B20D018,,1,ASIAN,EASTERN ASIA,MAN,
9B20E016,,1,WHITE,NORTHERN EUROPE,MAN,
9B20C031,,1,,UNKNOWN,WOMAN,23
9B20C032,,1,,UNKNOWN,WOMAN,23
9B20M133,,1,WHITE,NORTH AMERICA,MAN,
9B20M144,,1,ASIAN,EASTERN ASIA,MAN,
9B20C033,,1,WHITE,NORTH AMERICA,MAN,
9B20E015,,1,WHITE,NORTH AMERICA,WOMAN,
9B20C030,,1,,NORTH AMERICA,WOMAN,
9B20A064,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A068,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M139,,1,WHITE,NORTH AMERICA,MAN,
9B20M140,,1,WHITE,WESTERN EUROPE,MAN,
9B20D017,,1,WHITE,NORTH AMERICA,MAN,
9B20M142,,1,,WESTERN EUROPE,WOMAN,
9B20A067,,1,WHITE,WESTERN EUROPE,WOMAN,
9B20M141,,0,,,,
9B20A065,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M138,,1,WHITE,NORTHERN EUROPE,WOMAN,
9B20N024,,1,ASIAN,EASTERN ASIA,,
9B20M137,,1,BROWN,NORTH AMERICA,WOMAN,
9B20A063,,1,WHITE,NORTH AMERICA,MAN,
9B20A062,,1,ASIAN,EASTERN ASIA,MAN,
9B20E011,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A058,,1,WHITE,NORTH AMERICA,MAN,
9B20A048,,0,,,,
9B20M136,,1,BROWN,SOUTHERN ASIA,MAN,83
9B20N022,,1,BROWN,SOUTHERN AFRICA,MAN,
9B20M135,,2,BROWN,NORTH AMERICA,MAN,
9B20M132,,1,WHITE,NORTH AMERICA,MAN,
9B20M134,,1,ASIAN,EASTERN ASIA,MAN,
9B20D014,,1,ASIAN,EASTERN ASIA,MAN,
9B20A060,,1,BROWN,SOUTHEASTERN ASIA,MAN,
9B20A061,,1,WHITE,NORTHERN EUROPE,MAN,
9B20A057,,1,BROWN,NORTH AMERICA,WOMAN,
9B20A059,,1,BROWN,SOUTHERN ASIA,MAN,
9B20E013,,1,,UNKNOWN,MAN,
9B20M130,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A052,,1,WHITE,NORTH AMERICA,MAN,
9B20B014,,1,WHITE,NORTH AMERICA,WOMAN,
9B20N020,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A047,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A055,,0,,,,
9B20B016,,1,BROWN,SOUTHERN ASIA,MAN,
9B20E012,,1,ASIAN,EASTERN ASIA,MAN,
9B20M127,,1,WHITE,NORTH AMERICA,MAN,
9B20A056,,1,,UNKNOWN,MAN,
9B20M119,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B20M122,,1,WHITE,NORTH AMERICA,MAN,
9B20N018,,0,,,,
9B20N019,,0,,,,
9B20M121,,1,WHITE,WESTERN ASIA,MAN,
9B20M123,,0,,,,
9B20A054,,1,ASIAN,EASTERN ASIA,MAN,
9B20N016,,0,,,,
9B20M124,,1,WHITE,NORTH AMERICA,MAN,
9B20A053,,1,ASIAN,SOUTHEASTERN ASIA,MAN,
9B20M120,,1,ASIAN,EASTERN ASIA,MAN,
9B20M116,,1,WHITE,NORTH AMERICA,MAN,
9B20M115,,1,ASIAN,EASTERN ASIA,MAN,
9B20M117,,1,ASIAN,EASTERN ASIA,MAN,
9B20B012,,1,WHITE,NORTH AMERICA,MAN,
9B20M114,,1,WHITE,EASTERN ASIA,MAN,
9B20A051,,1,ASIAN,EASTERN ASIA,MAN,
9B20B013,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M118,,1,BROWN,SOUTHERN ASIA,MAN,
9B20N017,,1,,,,
9B20M105,,1,ASIAN,EASTERN ASIA,MAN,
9B20M112,,1,ASIAN,EASTERN ASIA,MAN,
9B20B011,,1,,NORTH AMERICA,MAN,
9B20A050,,1,ASIAN,EASTERN ASIA,WOMAN,41
9B20M110,,1,ASIAN,EASTERN ASIA,MAN,
9B20M106,,1,WHITE,NORTH AMERICA,MAN,
9B20A042,,1,ASIAN,EASTERN ASIA,MAN,
9B20D013,,1,WHITE,NORTH AMERICA,MAN,
9B20C028,,1,WHITE,NORTH AMERICA,MAN,25
9B20D010,,1,WHITE,NORTH AMERICA,MAN,
9B20E010,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M107,,1,WHITE,NORTH AMERICA,MAN,
9B20M108,,0,,,,
9B20M113,,1,WHITE,NORTH AMERICA,MAN,
9B20A045,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A046,,1,BROWN,SOUTHERN ASIA,MAN,
9B20B010,,0,,,,
9B20M097,,1,WHITE,SOUTHERN EUROPE,MAN,
9B20M104,,1,WHITE,NORTH AMERICA,MAN,
9B20D012,,1,WHITE,NORTH AMERICA,MAN,
9B20M109,,1,WHITE,NORTH AMERICA,MAN,
9B20M103,,1,WHITE,SOUTHERN AFRICA,WOMAN,
9B20E006,,1,,NORTH AMERICA,MAN,
9B20M041,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M093,,1,WHITE,WESTERN EUROPE,WOMAN,
9B20M069,,1,BROWN,UNKNOWN,,
9B20C027,,1,,SOUTHERN AFRICA,WOMAN,
9B20N008,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A044,,1,,NORTH AMERICA,WOMAN,
9B20B009,,0,,,,
9B20D011,,1,WHITE,NORTH AMERICA,WOMAN,
9B20D009,,1,WHITE,NORTH AMERICA,MAN,
9B20M101,,1,WHITE,NORTH AMERICA,WOMAN,
9B20D007,,1,ASIAN,NORTH AMERICA,WOMAN,
9B20D008,,1,WHITE,NORTH AMERICA,WOMAN,
9B20B008,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M100,,1,BROWN,EASTERN ASIA,MAN,
9B20M094,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A043,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M090,,1,BROWN,SOUTHERN ASIA,MAN,
9B20C026,,1,BROWN,SOUTHERN ASIA,MAN,
9B20D005,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M095,,1,WHITE,NORTH AMERICA,MAN,
9B20M096,,1,BROWN,SOUTHERN ASIA,MAN,62
9B20M098,,1,BROWN,SOUTHERN AFRICA,WOMAN,
9B20M099,,1,WHITE,EASTERN EUROPE,MAN,
9B20A041,,1,ASIAN,SOUTHEASTERN ASIA,WOMAN,
9B20D006,,1,,SOUTHERN ASIA,WOMAN,
9B20M079,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M091,,0,,,,
9B20M092,,1,WHITE,NORTH AMERICA,MAN,
9B20M089,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A037,,1,BROWN,SOUTHERN ASIA,MAN,
9B20N015,,0,,,,
9B20M087,,0,,,,
9B20M083,,1,BROWN,SOUTHERN ASIA,MAN,30
9B20M085,,0,,,,
9B20M088,,1,WHITE,NORTH AMERICA,MAN,
9B20E009,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M081,,1,ASIAN,EASTERN ASIA,MAN,
9B20A040,,1,ASIAN,EASTERN ASIA,MAN,
9B20C024,,1,WHITE,NORTH AMERICA,WOMAN,
9B20E008,,1,BROWN,WESTERN ASIA,MAN,
9B20M067,,0,BROWN,,MAN,
9B20M073,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M074,,0,,,,
9B20A035,,1,BROWN,SOUTHERN ASIA,MAN,
9B20C025,,1,ASIAN,EASTERN ASIA,WOMAN,
9B20A027,,1,WHITE,WESTERN EUROPE,MAN,
9B20M066,,1,WHITE,EASTERN EUROPE,MAN,
9B20M084,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M086,,1,WHITE,SOUTHERN AFRICA,MAN,
9B20A036,,1,BROWN,NORTH AMERICA,MAN,
9B20M076,,1,WHITE,NORTH AMERICA,MAN,
9B20N013,,0,,,,
9B20M080,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M082,,0,,,,
9B20A031,,0,,,,
9B20A032,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M078,,0,,,,
9B20A034,,1,WHITE,NORTH AMERICA,WOMAN,
9B20C021,,1,BLACK,SOUTHERN AFRICA,WOMAN,
9B20M070,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M072,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A023,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A038,,1,,UNKNOWN,WOMAN,
9B20M077,,1,WHITE,NORTHERN EUROPE,MAN,
9B20A018,,1,WHITE,NORTH AMERICA,MAN,
9B20A029,,1,WHITE,NORTH AMERICA,WOMAN,
9B20A033,,1,,UNKNOWN,MAN,
9B20B006,,1,WHITE,NORTH AMERICA,MAN,
9B20M048,,0,,,,
9B20M064,,1,WHITE,NORTH AMERICA,1,
9B20M071,,0,,,,
9B20N012,,1,BROWN,NORTH AMERICA,WOMAN,
9B20M060,,1,WHITE,NORTH AMERICA,MAN,
9B20M063,,1,ASIAN,EASTERN ASIA,MAN,
9B20A026,,,,,,
9B20B005,,,,,,
9B20C020,,,,,,
9B20C022,,,,,,
9B20C023,,1,WHITE,,WOMAN,
9B20D004,,,,,,
9B20A025,,,,,,
9B20A028,,,,,,
9B20C017,,,,,,
9B20M061,,,,,,
9B20M062,,1,ASIAN,EASTERN ASIA,MAN,
9B20B004,,1,WHITE,NORTH AMERICA,MAN,
9B20M044,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M059,,1,WHITE,NORTH AMERICA,MAN,
9B20A022,,1,WHITE,AUSTRALIA AND NEW ZEALAND,MAN,
9B20A030,,1,BROWN,SOUTHERN ASIA,MAN,
9B20D003,,1,WHITE,NORTH AMERICA,MAN,
9B20M051,,1,BROWN,SOUTHERN ASIA,MAN,
9B20B003,,1,WHITE,NORTH AMERICA,WOMAN,
9B20C015,,1,BLACK,SOUTHERN AFRICA,MAN,
9B20C016,,1,BLACK,SOUTHERN AFRICA,WOMAN,
9B20C018,,1,WHITE,NORTH AMERICA,MAN,
9B20C019,,1,WHITE,NORTH AMERICA,MAN,
9B20M049,,1,BLACK,SOUTHERN AFRICA,MAN,
9B20M050,,1,BLACK,NORTH AMERICA,WOMAN,
9B20M052,,1,ASIAN,EASTERN ASIA,MAN,
9B20M053,,1,WHITE,NORTH AMERICA,MAN,
9B20M054,,1,WHITE,NORTH AMERICA,MAN,
9B20M055,,1,WHITE,NORTH AMERICA,MAN,
9B20M056,,1,WHITE,NORTH AMERICA,MAN,
9B20M057,,1,WHITE,NORTH AMERICA,MAN,
9B20M058,,1,WHITE,NORTH AMERICA,MAN,
9B20N011,,1,BROWN,NORTH AMERICA,MAN,39
9B20A017,,1,ASIAN,EASTERN ASIA,MAN,
9B20A024,,1,WHITE,NORTH AMERICA,WOMAN,
9B20M047,,1,ASIAN,EASTERN ASIA,MAN,
9B20N010,,1,BROWN,SOUTHERN ASIA,MAN,
9B20E007,,1,BROWN,SOUTHERN ASIA,MAN,40
9B20A020,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M046,,0,WHITE,,MAN,
9B20M043,,1,ASIAN,EASTERN ASIA,MAN,
9B20N009,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A019,,1,BROWN,SOUTHERN ASIA,MAN,
9B20A021,,0,,,,
9B20C010,,1,BROWN,WESTERN ASIA,MAN,
9B20M032,,1,BROWN,SOUTHERN ASIA,WOMAN,
9B20A016,,1,BROWN,SOUTHERN ASIA,MAN,
9B20M045,,1,WHITE,NORTH AMERICA,MAN,
9B20N007,,1,ASIAN,EASTERN ASIA,,
7B18M132,,0,,,,
